text,closed,all,min,max,date,dow,tweet_id,timestamp
"FRIDAY, AUGUST 2, 2013 jurors with reporting numbers 8000 through and including 8300 are to report for jury service.",0,0.0,8000.0,8300.0,2013-08-02T00:00:00Z,Friday,363064113733177344,2013-08-01 22:30:04 +0000
"THURSDAY, AUGUST 1, 2013 jurors with reporting numbers 6000 through and including 6300 are to report for jury service.",0,0.0,6000.0,6300.0,2013-08-01T00:00:00Z,Thursday,362701730980433920,2013-07-31 22:30:05 +0000
"WEDNESDAY, JULY 31, 2013 jurors with reporting numbers 4000 through and including 4300 are to report for jury service.",0,0.0,4000.0,4300.0,2013-07-31T00:00:00Z,Wednesday,362339341219012609,2013-07-30 22:30:05 +0000
"TUESDAY, JULY 30, 2013 jurors with reporting numbers 2000 through and including 2500 are to report for jury service.",0,0.0,2000.0,2500.0,2013-07-30T00:00:00Z,Tuesday,361976948580290561,2013-07-29 22:30:04 +0000
"MONDAY, JULY 29, 2013 jurors with reporting numbers 1 through and including 600 are to report for jury service.",0,0.0,1.0,600.0,2013-07-29T00:00:00Z,Monday,361614562891534337,2013-07-28 22:30:04 +0000
"FRIDAY, JULY 26, 2013 jurors with reporting numbers 8000 through and including 9000 are to report for jury service.",0,0.0,8000.0,9000.0,2013-07-26T00:00:00Z,Friday,360527395440164866,2013-07-25 22:30:04 +0000
"THURSDAY, JULY 25, 2013 jurors with reporting numbers 6000 through and including 6600 are to report for jury service.",0,0.0,6000.0,6600.0,2013-07-25T00:00:00Z,Thursday,360165011538186240,2013-07-24 22:30:04 +0000
"WEDNESDAY, JULY 24, 2013 jurors with reporting numbers 4000 through and including 4400 are to report for jury service.",0,0.0,4000.0,4400.0,2013-07-24T00:00:00Z,Wednesday,359802622531743745,2013-07-23 22:30:04 +0000
"TUESDAY, JULY 23, 2013 jurors with reporting numbers 2000 through and including 2500 are to report for jury service.",0,0.0,2000.0,2500.0,2013-07-23T00:00:00Z,Tuesday,359440233861222400,2013-07-22 22:30:04 +0000
"MONDAY, JULY 22, 2013 jurors with reporting numbers 1 through and including 500 are to report for jury service.",0,0.0,1.0,500.0,2013-07-22T00:00:00Z,Monday,359077848935436288,2013-07-21 22:30:05 +0000
"FRIDAY, JULY 19, 2013 jurors with reporting numbers 8000 through and including 8700 are to report for jury service.",0,0.0,8000.0,8700.0,2013-07-19T00:00:00Z,Friday,357990683254075393,2013-07-18 22:30:04 +0000
"THURSDAY, JULY 18, 2013 jurors with reporting numbers 6000 through and including 6700 are to report for jury service.",0,0.0,6000.0,6700.0,2013-07-18T00:00:00Z,Thursday,357628306616627201,2013-07-17 22:30:07 +0000
"WEDNESDAY, JULY 17, 2013 jurors with reporting numbers 4000 through and including 4500 are to report for jury service.",0,0.0,4000.0,4500.0,2013-07-17T00:00:00Z,Wednesday,357265905849348097,2013-07-16 22:30:04 +0000
"TUESDAY, JULY 16, 2013 jurors with reporting numbers 2000 through and including 2700 are to report for jury service.",0,0.0,2000.0,2700.0,2013-07-16T00:00:00Z,Tuesday,356903524216475649,2013-07-15 22:30:05 +0000
"MONDAY, JULY 15, 2013 jurors with reporting numbers 1 through and including 600 are to report for jury service.",0,0.0,1.0,600.0,2013-07-15T00:00:00Z,Monday,356541134052409346,2013-07-14 22:30:05 +0000
"FRIDAY, JULY 12, 2013 jurors with reporting numbers 8000 through and including 8600 are to report for jury service.",0,0.0,8000.0,8600.0,2013-07-12T00:00:00Z,Friday,355453975132258304,2013-07-11 22:30:06 +0000
"THURSDAY JULY 11, 2013 jurors with reporting numbers 6000 through and including 6600 are to report for jury service.",0,0.0,6000.0,6600.0,2013-07-11T00:00:00Z,Thursday,355091583009431552,2013-07-10 22:30:05 +0000
"WEDNESDAY JULY 10, 2013 jurors with reporting numbers 4000 through and including 4600 are to report for jury service.",0,0.0,4000.0,4600.0,2013-07-10T00:00:00Z,Wednesday,354729206476836864,2013-07-09 22:30:08 +0000
"TUESDAY JULY 9, 2013 jurors with reporting numbers 2000 through and including 2700 are to report for jury service.",0,0.0,2000.0,2700.0,2013-07-09T00:00:00Z,Tuesday,354366814895095808,2013-07-08 22:30:07 +0000
"MONDAY JULY 8, 2013 jurors with reporting numbers 1 through and including 1200 are to report for jury service.",0,0.0,1.0,1200.0,2013-07-08T00:00:00Z,Monday,354004419521691648,2013-07-07 22:30:05 +0000
"THURSDAY JULY 4, 2013 THE CIRCUIT COURT FOR BALTIMORE CITY WILL BE CLOSED DUE TO THE HOLIDAY.",1,0.0,0,0,2013-07-04T00:00:00Z,Thursday,352917261104857089,2013-07-04 22:30:06 +0000
"THURSDAY JULY 4, 2013 THE CIRCUIT COURT FOR BALTIMORE CITY WILL BE CLOSED DUE TO THE HOLIDAY.",1,0.0,0,0,2013-07-04T00:00:00Z,Thursday,352554878213689345,2013-07-03 22:30:07 +0000
"WEDNESDAY JULY 3, 2013 jurors with reporting numbers 4000 through and including 4400 are to report for jury service.",0,0.0,4000.0,4400.0,2013-07-03T00:00:00Z,Wednesday,352192494324285441,2013-07-02 22:30:08 +0000
"TUESDAY JULY 2, 2013 jurors with reporting numbers 2000 through and including 2300 are to report for jury service.",0,0.0,2000.0,2300.0,2013-07-02T00:00:00Z,Tuesday,351830097357058048,2013-07-01 22:30:06 +0000
"MONDAY JULY 1, 2013 jurors with reporting numbers 1 through and including 650 are to report for jury service.",0,0.0,1.0,650.0,2013-07-01T00:00:00Z,Monday,351467710334517252,2013-06-30 22:30:06 +0000
"FRIDAY JUNE 28, 2013 jurors with reporting numbers 8000 through and including 8300 are to report for jury service.",0,0.0,8000.0,8300.0,2013-06-28T00:00:00Z,Friday,350380548897771520,2013-06-27 22:30:07 +0000
"THURSDAY JUNE 27, 2013 jurors with reporting numbers 6000 through and including 6600 are to report for jury service.",0,0.0,6000.0,6600.0,2013-06-27T00:00:00Z,Thursday,350018176601432064,2013-06-26 22:30:10 +0000
"WEDNESDAY JUNE 26, 2013 jurors with reporting numbers 4000 through and including 4900 are to report for jury service.",0,0.0,4000.0,4900.0,2013-06-26T00:00:00Z,Wednesday,349655873318174720,2013-06-25 22:30:31 +0000
"TUESDAY JUNE 25, 2013 jurors with reporting numbers 2000 through and including 2500 are to report for jury service.",0,0.0,2000.0,2500.0,2013-06-25T00:00:00Z,Tuesday,349293486694072321,2013-06-24 22:30:31 +0000
"MONDAY JUNE 24, 2013 jurors with reporting numbers 1 through and including 300 are to report for jury service.",0,0.0,1.0,300.0,2013-06-24T00:00:00Z,Monday,348931065244680192,2013-06-23 22:30:23 +0000
"FRIDAY JUNE 21, 2013 jurors with reporting numbers 8000 through and including 8400 are to report for jury service.",0,0.0,8000.0,8400.0,2013-06-21T00:00:00Z,Friday,347843856005492736,2013-06-20 22:30:12 +0000
"THURSDAY JUNE 20, 2013 jurors with reporting numbers 6000 through and including 6300 are to report for jury service.",0,0.0,6000.0,6300.0,2013-06-20T00:00:00Z,Thursday,347481484027887616,2013-06-19 22:30:16 +0000
"TUESDAY JUNE 18, 2013 jurors with reporting numbers 2000 through and including 2400 are to report for jury service.",0,0.0,2000.0,2400.0,2013-06-18T00:00:00Z,Tuesday,347119080433672193,2013-06-18 22:30:12 +0000
"TUESDAY JUNE 18, 2013 jurors with reporting numbers 2000 through and including 2400 are to report for jury service.",0,0.0,2000.0,2400.0,2013-06-18T00:00:00Z,Tuesday,346756686058500096,2013-06-17 22:30:11 +0000
"MONDAY JUNE 17, 2013 jurors with reporting numbers 01 through and including 600 are to report for jury service.",0,0.0,1.0,600.0,2013-06-17T00:00:00Z,Monday,346394276604817408,2013-06-16 22:30:05 +0000
"FRIDAY JUNE 14, 2013 jurors with reporting numbers 8000 through and including 8300 are to report for jury service.",0,0.0,8000.0,8300.0,2013-06-14T00:00:00Z,Friday,345307124022259714,2013-06-13 22:30:08 +0000
"THURSDAY JUNE 13, 2013 jurors with reporting numbers 6000 through and including 6400 are to report for jury service.",0,0.0,6000.0,6400.0,2013-06-13T00:00:00Z,Thursday,344944736597065730,2013-06-12 22:30:08 +0000
"WEDNESDAY JUNE 12, 2013 jurors with reporting numbers 4000 through and including 4400 are to report for jury service.",0,0.0,4000.0,4400.0,2013-06-12T00:00:00Z,Wednesday,344582341726982144,2013-06-11 22:30:06 +0000
"TUESDAY JUNE 11, 2013 jurors with reporting numbers 2000 through and including 2600 are to report for jury service.",0,0.0,2000.0,2600.0,2013-06-11T00:00:00Z,Tuesday,344219966201004036,2013-06-10 22:30:09 +0000
